Order Date - Year-Month,Bookcases,Chairs,Furnishings,Tables,Appliances,Art,Binders,Envelopes,Fasteners,Labels,Paper,Storage,Supplies,Accessories,Copiers,Machines,Phones
2024-Nov,1159.88,-898.46,2251.52,-784.12,94.42,34.69,-3131.01,-152.28,-158.96,1744.36,71.35,5644.78,-136.5,3062.72,292.42,-1386.38,8742.38
2024-Dec,-1378.63,18313.79,6148.12,1855.27,5035.33,-192.93,21819.4,-191.48,-15.69,-325.84,-198.08,5427.88,453.26,4085.23,3018.53,-289.4,5391.5
2025-Jan,66.17,194.4,867.21,-1382.51,5849.88,257.31,11524.58,17.5,-153.89,-154.81,1180.04,1637.57,551.55,944.81,-59.85,2360.41,410.96
2025-Feb,351.15,-643.27,-164.39,-1709.79,5527.97,170.49,-1205.02,-38.76,-156.54,-38.26,308.36,1767.89,-19.94,73.09,80.0,62.95,-1125.54
2025-Mar,-669.02,2697.36,-683.8,502.66,972.01,-369.13,614.44,-135.76,-121.98,-251.08,1039.0,3142.46,648.63,2751.61,9172.85,-54.82,595.88
2025-Apr,-644.29,508.98,-718.51,434.19,-386.98,-491.9,2551.56,-129.42,-101.63,-581.76,-96.04,3407.64,773.52,2232.58,60.0,-9204.08,79.21
2025-May,656.86,8018.1,1016.55,-2073.43,758.78,-209.95,612.17,9.81,-147.02,-149.66,2073.07,4436.1,-138.22,570.43,1608.56,34.48,4489.91
2025-Jun,2526.05,7725.95,1102.66,1282.3,7073.54,203.33,599.62,-119.12,-84.65,-43.55,192.52,2226.02,-67.55,4341.96,45.0,6025.93,-5999.19
2025-Jul,1502.09,-484.61,-1887.17,-940.95,-116.46,-358.63,328.74,86.13,-104.69,1867.31,-85.33,1766.59,-21.12,6239.65,1312.97,-3081.92,-1682.94
2025-Aug,-228.79,-11077.6,-490.84,1952.89,4566.12,255.61,-7170.48,-164.24,38.85,740.18,502.12,9618.14,-182.84,5604.82,471.33,-868.68,22834.3
2025-Sep,-2387.57,23838.13,-981.11,75.88,272.06,-553.89,3676.06,-296.0,-46.34,24.46,1961.26,2587.08,616.93,9136.63,-127.75,-75.21,1890.97
2025-Oct,5600.04,2392.68,2375.5,-2902.0,4139.94,-487.82,3774.59,662.14,-43.34,-84.29,-127.59,5745.09,-19.88,7718.99,-7358.03,5.96,5613.54
2025-Nov,-1099.42,5178.04,3576.58,3420.93,-662.45,399.85,-5305.68,-35.77,-131.71,-263.38,831.78,15006.42,-320.19,8017.98,14049.96,-7444.02,3098.25
2025-Dec,-1422.61,5906.78,1691.38,3402.59,12793.98,-720.83,-7141.45,-16.02,-163.02,-120.82,850.78,9033.24,962.5,2688.74,1050.2,-756.51,5935.98
