Order Date - Year-Month,Bookcases,Chairs,Furnishings,Tables,Appliances,Art,Binders,Envelopes,Fasteners,Labels,Paper,Storage,Supplies,Accessories,Copiers,Machines,Phones
2023-Oct,3988.16,31216.25,2859.25,5349.86,12107.93,976.34,2633.21,2218.36,104.7,8150.35,2528.9,21694.45,348.38,8839.21,1804.73,4597.12,14707.38
2023-Nov,29354.32,58690.41,13904.68,19277.58,41637.66,5409.65,6071.5,1825.02,1024.93,352.93,10875.02,25794.05,279.3,23656.13,1652.17,29436.6,36783.2
2023-Dec,6203.41,58069.46,11819.9,42046.22,4654.44,3275.55,19464.59,3571.28,388.3,1118.73,14199.08,12925.04,161.97,64606.22,50855.14,12246.9,47154.2
2024-Jan,9127.46,8045.16,5728.02,11502.95,249.07,260.43,2628.02,1464.43,49.9,376.43,2286.78,28941.59,180.0,7736.58,3379.09,180.0,10988.17
2024-Feb,527.96,6173.07,4110.47,2646.57,4028.8,2994.46,1920.46,528.78,390.81,103.06,5594.58,16291.46,61.7,1158.05,400.0,52499.7,11020.01
2024-Mar,2404.37,24880.45,12614.02,13276.69,8502.82,978.02,6272.89,2408.75,9.14,25.81,6946.2,9228.79,26670.59,12580.31,600.0,47608.2,55604.59
2024-Apr,7329.0,38898.37,3591.11,6527.74,1584.19,4166.63,4298.64,519.26,580.38,73.34,4421.65,14837.65,4421.78,8437.0,2591.95,76439.41,9641.15
2024-May,160.0,33708.03,11300.62,27689.76,6171.07,3008.39,6287.27,554.82,43.49,934.52,14229.7,27464.62,862.55,15442.75,19051.14,45275.54,27705.47
2024-Jun,14996.45,7739.42,2864.21,20167.2,4074.75,316.8,2877.58,1242.22,114.98,1212.58,10371.86,20518.98,6010.12,4453.66,110.00000000000001,25480.2,34238.5
2024-Jul,11283.59,12212.95,5875.59,26701.58,7990.95,2517.7,3794.33,1804.14,582.27,910.78,6231.46,13259.97,874.22,3019.74,19939.98,484.58,29350.07
2024-Aug,1229.22,16584.79,3284.71,28301.05,11184.86,1754.75,4044.45,937.25,290.93,2009.25,4038.66,11524.83,753.22,17593.32,120.0,2768.58,10042.81
2024-Sep,18382.6,26941.93,24476.14,16878.08,10699.1,3203.87,30326.59,2154.41,570.42,1521.88,14862.4,27347.18,237.98,69672.32,29866.21,3556.87,31058.17
2024-Oct,5041.95,21766.46,8349.52,2907.74,13298.95,1999.44,13367.2,783.82,1269.06,601.02,9262.48,28135.87,456.59,11511.54,149708.83,2621.54,17643.85
2024-Nov,24849.62,53691.24,16360.27,42832.82,12318.52,4035.87,14695.87,3481.25,953.5,6305.66,6594.37,24342.78,873.74,36913.36,3455.93,27962.63,42115.49
2024-Dec,9665.91,79252.13,38723.17,61167.0,24477.2,1641.88,174898.89,2231.28,477.21,1183.31,12803.35,47572.67,5817.9,27842.52,7014.25,136.98,48794.19
2025-Jan,651.42,4512.33,7902.05,6142.22,15462.47,1614.6,42678.25,839.39,222.17,79.34,4925.62,13955.67,17360.78,8690.78,16499.73,8581.55,39894.96
2025-Feb,2346.8,7957.92,1228.21,4596.54,16643.67,887.05,832.38,46.82,310.39,48.83,5302.25,6117.14,82.57,10891.58,120.0,460.76,11543.34
2025-Mar,6065.53,23381.14,4661.7,10203.74,10528.62,1383.38,7894.66,1803.23,125.91,824.5,9257.9,12829.54,2628.93,23907.68,66937.08,917.06,32562.83
2025-Apr,10021.77,9591.58,7227.09,6299.89,1398.75,2756.7,17237.92,506.66,81.85,661.96,6945.64,24925.4,2954.52,10767.29,180.0,9203.96,8809.19
2025-May,18600.57,45047.4,9037.19,5779.59,12727.88,3317.3,9118.19,1271.52,143.09,1404.3,8800.29,21885.19,1132.45,22959.35,17740.55,247.1,18624.14
2025-Jun,16644.54,30623.95,6336.62,12294.86,26126.45,7239.08,7243.27,239.35,57.92,532.69,9283.47,40386.83,366.74,25652.71,600.0,22845.19,28718.63
2025-Jul,5712.08,13674.25,14049.44,5773.2,4536.14,3790.12,6231.26,347.4,33.83,5852.21,6871.04,12967.76,511.87,30304.3,9734.18,11314.62,32180.74
2025-Aug,907.41,36321.45,4734.37,17485.96,37645.7,3293.13,55173.78,622.75,398.62,2070.3,6519.81,33776.35,668.02,35005.72,2049.55,3110.36,58610.53
2025-Sep,14963.39,67102.26,11738.82,15540.9,8056.76,3414.83,51013.08,1221.35,833.26,2144.06,21385.96,15253.94,21802.82,53571.18,563.17,3500.34,57248.7
2025-Oct,12703.74,16999.7,14567.11,44290.74,24149.71,3643.27,28487.12,1875.96,226.39,1842.6,5755.32,23757.75,309.2,31398.66,32255.91,39332.0,41483.2
2025-Nov,4389.78,60243.04,36595.18,102388.2,26823.32,5740.8,29678.83,1642.18,592.91,679.54,21266.67,55201.95,950.46,37743.37,41587.02,20770.69,81169.56
2025-Dec,16425.54,54231.17,14523.42,25249.99,35239.51,3167.46,13654.85,1096.27,1330.21,1515.62,12933.75,33940.58,9311.25,22056.95,26284.36,1767.13,33970.49
